Column1;Column2;Column3;Column4;Column5;Column6;Column7;;;;
YB48;45.024715;5.579885;1702;;AVEN  -  salle l=10m avec névé;fix YB48 5.57988496906059 45.0247146355246 1702 station YB48 'YB48'  entrance;;;;
YB45b;45.024606;5.579905;1660.0;;AVEN  -  nd zone à faible pendage;fix YB45b 5.57990547994949 45.0246061537366 1660.0 station YB45b 'YB45b'  entrance;;;;
YB45;45.024554;5.579802;1658.0;;AVEN  -  nd zone à faible pendage;fix YB45 5.57980161115618 45.0245544852422 1658.0 station YB45 'YB45'  entrance;;;;
YB44;45.024705;5.579897;1657.0;;AVEN  -  nd zone à faible pendage;fix YB44 5.57989724553182 45.0247053593513 1657.0 station YB44 'YB44'  entrance;;;;
YB05-35;45.026535;5.578596;1659.0;;AVEN  -  dans doline 3x5m P5;fix YB05-35 5.57859587219563 45.0265351456653 1659.0 station YB05-35 'YB05-35'  entrance;;;;
YB03-40;45.026746;5.580002;1637.0;;AVEN  -  or diam 1 5m 290g fond 5x2 5 m méandre  desc 2x0 25 leger ca soufflant;fix YB03-40 5.58000168227208 45.026746426592 1637.0 station YB03-40 'YB03-40'  entrance;;;;
YB03-25;45.030263;5.576161;1541.0;;AVEN  -  P=10 m or  diam 1m sur cassure 390g;fix YB03-25 5.57616097419322 45.0302629017185 1541.0 station YB03-25 'YB03-25'  entrance;;;;
YB02324;45.030912;5.576533;1540.0;;AVEN  -  ?????;fix YB02324 5.5765328537955 45.0309116410584 1540.0 station YB02324 'YB02324'  entrance;;;;
YB 03-34;45.026705;5.577329;1619.0;;AVEN  -  -2m;fix YB 03-34 5.57732910710116 45.0267047363748 1619.0 station YB 03-34 'YB 03-34'  entrance;;;;
YB 03-32;45.027835;5.577163;1592.0;;AVEN  -  ?;fix YB 03-32 5.57716328930941 45.0278350060339 1592.0 station YB 03-32 'YB 03-32'  entrance;;;;
YB 03-30;45.027200;5.577014;1613.0;;AVEN  -  -2m;fix YB 03-30 5.57701373724947 45.0271998182824 1613.0 station YB 03-30 'YB 03-30'  entrance;;;;
X9;45.043130;5.575621;1445.0;;AVEN  -  nd;fix X9 5.57562138056411 45.043129747407 1445.0 station X9 'X9'  entrance;;;;
X8;45.043504;5.575410;1426.0;;AVEN  -  nd;fix X8 5.57540961168784 45.0435036015953 1426.0 station X8 'X8'  entrance;;;;
X7;45.043853;5.575882;1378.0;;AVEN  -  nd;fix X7 5.57588241292824 45.0438530076203 1378.0 station X7 'X7'  entrance;;;;
X5;45.044863;5.575420;1392.0;;AVEN  -  nd;fix X5 5.57541983967342 45.0448626540327 1392.0 station X5 'X5'  entrance;;;;
X4;45.045381;5.574783;1373.0;;AVEN  -  nd;fix X4 5.57478282799377 45.0453811299849 1373.0 station X4 'X4'  entrance;;;;
X12;45.045565;5.574613;1409.0;;AVEN  -;fix X12 5.57461331029726 45.0455649950376 1409.0 station X12 'X12'  entrance;;;;
X11;45.044912;5.574838;1428.0;;AVEN  -;fix X11 5.57483794623242 45.0449117901694 1428.0 station X11 'X11'  entrance;;;;
X10;45.042886;5.575268;1453.0;;AVEN  -;fix X10 5.575267592576 45.0428856752376 1453.0 station X10 'X10'  entrance;;;;
X1;45.030584;5.576671;1538.0;;AVEN  -;fix X1 5.57667050053578 45.0305844705935 1538.0 station X1 'X1'  entrance;;;;
Truffière;45.044604;5.574843;1389.0;;AVEN  -  nd;fix Truffière 5.57484282899345 45.0446041770608 1389.0 station Truffière 'Truffière'  entrance;;;;
Trou Fauge;45.044168;5.577065;1297.0;;AVEN  -;fix Trou Fauge 5.57706475918524 45.0441683903981 1297.0 station Trou Fauge 'Trou Fauge'  entrance;;;;
T07-5;45.030261;5.576237;0.0;;-  comm avec le YB03-25 or. 1 5x1 m 290g;fix T07-5 5.57623706463631 45.0302611831801 0.0 station T07-5 'T07-5'  entrance;;;;
SPL1;45.038099;5.579486;1398.0;;Gouffre;fix SPL1 5.57948596908038 45.0380989866471 1398.0 station SPL1 'SPL1'  entrance;;;;
Sonde;45.045213;5.573670;1392.0;;AVEN  -  nd;fix Sonde 5.57366990479526 45.0452132086118 1392.0 station Sonde 'Sonde'  entrance;;;;
Scialet 1 Fauge;45.043304;5.578677;1326.0;;AVEN  -;fix Scialet 1 Fauge 5.57867658767702 45.0433038131002 1326.0 station Scialet 1 Fauge 'Scialet 1 Fauge'  entrance;;;;
Saut de l'ange;45.043407;5.575157;1422.0;;AVEN  -  nd;fix Saut de l'ange 5.57515743442495 45.0434067363374 1422.0 station Saut de l'ange 'Saut de l'ange'  entrance;;;;
Perte Fauge;45.043114;5.577894;1324.0;;PERTE  -;fix Perte Fauge 5.57789353270999 45.0431144555353 1324.0 station Perte Fauge 'Perte Fauge'  entrance;;;;
Grotte des Tritons;45.026688;5.575030;1681.0;;GROTTE  -;fix Grotte des Tritons 5.57502977059944 45.0266878709795 1681.0 station Grotte des Tritons 'Grotte des Tritons'  entrance;;;;
FJS23;45.032019;5.582486;1606.0;;AVEN  -  longue fissure de lapiaz L=6m l=1m or 300g pend 18° P= 20 m min ?;fix FJS23 5.58248574683369 45.0320193568242 1606.0 station FJS23 'FJS23'  entrance;;;;
FJS17;45.032945;5.580953;1547.0;;AVEN  -  or 12x5m 340g R3 P6 P=12m;fix FJS17 5.58095321212064 45.0329452084906 1547.0 station FJS17 'FJS17'  entrance;;;;
Faille-385g-p60;45.027806;5.576603;1599.0;;FAILLE  -;fix Faille-385g-p60 5.57660292006382 45.0278056249633 1599.0 station Faille-385g-p60 'Faille-385g-p60'  entrance;;;;
F bis;45.023550;5.580823;1735.0;;AVEN  -  F vrai de Biboc;fix F bis 5.5808226949195 45.0235501938824 1735.0 station F bis 'F bis'  entrance;;;;
E145;45.022551;5.582415;1767.0;;AVEN  -  nm nd or 3x2m 340g R4 et névé à -45°;fix E145 5.58241515116692 45.022550976131 1767.0 station E145 'E145'  entrance;;;;
E144;45.022515;5.582426;1766.0;;AVEN  -  nm nd or 2x1m 320g;fix E144 5.58242621340355 45.0225147181375 1766.0 station E144 'E144'  entrance;;;;
E143;45.023550;5.580810;1770.0;;AVEN  -  nm méandre;fix E143 5.58081001469795 45.0235504853122 1770.0 station E143 'E143'  entrance;;;;
E 143;45.029586;5.583404;1696.0;;GROTTE  -  baume remontante L=5 m nm;fix E 143 5.58340449764462 45.0295860582373 1696.0 station E 143 'E 143'  entrance;;;;
CAF93;45.033863;5.583467;1572.0;;AVEN  -  P5  et puits à descendre;fix CAF93 5.58346699250793 45.0338633659971 1572.0 station CAF93 'CAF93'  entrance;;;;
CAF235;45.025805;5.578276;1661.5;;;fix CAF235 5.57827600358922 45.0258050000548 1661.5 station CAF235 'CAF235'  entrance;;;;
CAF144;45.027577;5.580293;1634.0;;AVEN  -  P=9m sur faille 380g ca;fix CAF144 5.58029289840543 45.0275770169666 1634.0 station CAF144 'CAF144'  entrance;;;;
CAF143;45.027138;5.582571;1715.0;;AVEN  -  névé avec puits 10 m ? Id.;fix CAF143 5.5825707730304 45.027138413083 1715.0 station CAF143 'CAF143'  entrance;;;;
CAF141;45.029462;5.582129;1660.0;;AVEN  -  P6 sans suite;fix CAF141 5.58212946794228 45.0294618863229 1660.0 station CAF141 'CAF141'  entrance;;;;
CAF140;45.029559;5.582629;1673.0;;AVEN  -  doline avec petite désob ?;fix CAF140 5.58262890215709 45.0295586018187 1673.0 station CAF140 'CAF140'  entrance;;;;
CAF137;45.033908;5.580971;1503.0;;AVEN  -  or 5x1 320g P=13m;fix CAF137 5.58097112640136 45.0339080022485 1503.0 station CAF137 'CAF137'  entrance;;;;
CAF136;45.036568;5.580392;1355.0;;AVEN  -  aspirateur diam 0 3m  03/11;fix CAF136 5.58039248461831 45.0365676388003 1355.0 station CAF136 'CAF136'  entrance;;;;
CAF135;45.036785;5.580745;1349.0;;AVEN  -  non descendu;fix CAF135 5.58074503904141 45.0367847147937 1349.0 station CAF135 'CAF135'  entrance;;;;
CAF130;45.034554;5.583874;1557.0;;AVEN  -  P9;fix CAF130 5.58387374089133 45.0345543869035 1557.0 station CAF130 'CAF130'  entrance;;;;
Caf 236;45.047898;5.572980;1340.0;Gouffre;;fix Caf 236 5.57298045503647 45.0478979154859 1340.0 station Caf 236 'Caf 236'  entrance;;;;
caf 235-0;45.025786;5.578270;1666.0;;;fix caf 235-0 5.57827021654528 45.0257863164193 1666.0 station caf 235-0 'caf 235-0'  entrance;;;;
CAF225;45.036515;5.580327;1445.0;;;fix CAF225 5.580326640801 45.0365151187422 1445.0 station CAF225 'CAF225'  entrance;;;;
CAF210;45.028849;5.580264;1608.4;;;fix CAF210 5.58026400358882 45.0288490000551 1608.4 station CAF210 'CAF210'  entrance;;;;
Arche;45.022566;5.581768;1805.0;;AVEN  -  FJS cf Scialet;fix Arche 5.58176847289536 45.0225656029746 1805.0 station Arche 'Arche'  entrance;;;;
7-02;45.033864;5.580985;1527.3;Gouffre;;fix 7-02 5.58098494452579 45.0338639682722 1527.3 station 7-02 '7-02'  entrance;;;;
7;45.030597;5.583272;1658.0;;AVEN  -  or 5x1 5 350g sur dalle lapiaz P10 nm nd;fix 7 5.58327229240541 45.0305972596311 1658.0 station 7 '7'  entrance;;;;
63F3;45.029294;5.581982;1652.0;;AVEN  -  P3 P6 -12m sur cassure 100g or 5x1 5m;fix 63F3 5.58198228468664 45.0292941749823 1652.0 station 63F3 '63F3'  entrance;;;;
6;45.028283;5.581696;1673.0;;AVEN  -  or triang 0 5x0 30 sur faille 280g P=15m fond 4x2 en fuseau  pas de ca;fix 6 5.58169562506762 45.0282834485898 1673.0 station 6 '6'  entrance;;;;
5;45.027131;5.582507;1712.0;;AVEN  -  or 8x3 130g P=12m ca var asp pincement;fix 5 5.58250696341024 45.0271308593358 1712.0 station 5 '5'  entrance;;;;
3;45.027440;5.581569;1666.0;;AVEN  -  sur décrochement (stries) 17° EW  P=8m pas de suite;fix 3 5.58156883294897 45.0274401417323 1666.0 station 3 '3'  entrance;;;;
2;45.027438;5.580871;1649.0;;AVEN  -  sur faille or 10x1 300g p21°au340g P=12m fissure;fix 2 5.58087056695179 45.0274379239204 1649.0 station 2 '2'  entrance;;;;
15;45.025285;5.583015;1757.0;;AVEN  -  nd P5 ?;fix 15 5.58301520725043 45.0252851052219 1757.0 station 15 '15'  entrance;;;;
14bis;45.025512;5.582622;1760.0;;AVEN  -  P=5 chantier blocs;fix 14bis 5.58262150027346 45.0255122410356 1760.0 station 14bis '14bis'  entrance;;;;
14;45.031984;5.582865;1614.0;;AVEN  -  longue fissure de lapiaz L=20m l=2m 300g pend 25° nd;fix 14 5.58286499370564 45.0319837705562 1614.0 station 14 '14'  entrance;;;;
13bis;45.025352;5.581907;1677.0;;AVEN  -  P=4 chantier ca faible;fix 13bis 5.58190650152209 45.0253521606122 1677.0 station 13bis '13bis'  entrance;;;;
13;45.031427;5.582015;1602.0;;AVEN  -  or 1x0 3  cassure 320g nd  P=? Pend 22° 320g;fix 13 5.58201476549241 45.0314268872517 1602.0 station 13 '13'  entrance;;;;
12;45.031609;5.581528;1583.0;;AVEN  -  fracture 120g pas de ca P=6m;fix 12 5.58152785514086 45.0316089323231 1583.0 station 12 '12'  entrance;;;;
110;45.030977;5.580014;1538.0;;AVEN  -  nm nd;fix 110 5.58001414571846 45.0309770274695 1538.0 station 110 '110'  entrance;;;;
11;45.031510;5.580711;1570.0;;AVEN  -  or diam 5m 10g P=4m pas de suite;fix 11 5.58071095158892 45.0315103871793 1570.0 station 11 '11'  entrance;;;;
10;45.031245;5.580090;1542.0;;AVEN  -  nm or 2 5x1 5 10g R3 salle L=4m P=4m pas de suite;fix 10 5.58008968421338 45.0312453762295 1542.0 station 10 '10'  entrance;;;;
1_0;45.026774;5.575619;1584.0;;;fix 1_0 5.57561937367621 45.0267735213728 1584.0 station 1_0 '1_0'  entrance;;;;
1;45.028023;5.580084;1624.0;;AVEN  -  sc Amadjide P=25m ca boyau impénét. Désob;fix 1 5.58008444675303 45.0280228240846 1624.0 station 1 '1'  entrance;;;;
034;45.042130;5.579798;1334.2;;;fix 034 5.57979800358976 45.0421300000565 1334.2 station 034 '034'  entrance;;;;
0;45.023244;5.576611;1760.0;;;fix 0 5.57661096677398 45.0232439110857 1760.0 station 0 '0'  entrance;;;;
0;45.028424;5.581055;1607.0;;AVEN  -  chantier ca  départ conduit étroit;fix 0 5.58105454349681 45.0284239759713 1607.0 station 0 '0'  entrance;;;;
